plot,twig_dm,invasive_cover ,total_cover,relative_invasive,n_seedlings_total,2022_survival
1,4,90,145,0.620689655,0,0
2,10,50,212,0.235849057,2,0.5
3,0,15,110,0.136363636,6,0.33333
4,5.5,20,67,0.298507463,4,0.5
5,5,0,125,0,1,0
6,0,2,72,0.027777778,6,0.142857
7,5,0,73,0,22,0.2142857
8,7,10,190,0.052631579,11,0
9,15,0,90,0,8,0
10,10,0,130,0,8,0
11,7,80,248,0.322580645,0,0
12,3,30,190,0.157894737,0,0
13,9,0,49,0,27,0.3
14,10,0,135,0,34,0.3030303
15,11,0,68,0,42,0.2571429
16,14,0,60,0,36,0.2857143
17,15,0,55,0,48,0.1568627
18,9,0,78,0,29,0.7272727
19,7,0,106,0,28,0.3809524
20,9,0,115,0,13,0.75
21,13,0,115,0,17,0.6875
22,13,0,118,0,10,0.5555556
23,11,0,76,0,9,0.375
24,14,0,151,0,9,0.1666667
25,0,0,200,0,0,0
26,0,0,190,0,0,0
27,0,0,140,0,0,0
28,0,0,125,0,0,0
29,0,0,100,0,0,0
30,0,0,120,0,0,0
31,0,0,70,0,0,0
32,0,0,145,0,0,0
33,0,0,140,0,0,0
34,0,0,100,0,0,0
35,0,0,115,0,0,0

36,0,0,120,0,0,0
